[HEADER]TICK,EPISODE,BAR_POS,FISH_POS,REWARD,FORCE,Q_HOLD,EPSILON,TD_ERROR
[DATA]41,0,516.7126,484.5934,-1.1002,0.0000,0.0000,0.49897602,0.0735
[DATA]42,0,516.5051,483.4373,-1.1492,0.0000,0.0000,0.49895108,0.0735
[DATA]43,0,516.4476,482.3043,-4.2042,-0.4731,-0.2946,0.49892613,0.0735
[DATA]44,0,516.5401,481.1572,-1.2672,0.0000,0.0000,0.49890118,-0.1175
[DATA]45,0,516.3095,480.0363,-4.3123,-0.4902,-0.3137,0.49887624,-1.5000
[DATA]46,0,516.2289,478.9322,-4.3639,-0.4984,-0.3223,0.49885129,0.0726
[DATA]47,0,515.8081,477.8347,-1.3979,0.0000,0.0000,0.49882635,-0.1175
[DATA]48,0,515.0389,476.7518,-1.4137,0.0000,0.0000,0.49880141,-0.1175
[DATA]49,0,514.4197,475.6762,-1.4366,0.0000,0.0000,0.49877647,-1.6057
[DATA]50,0,513.9505,474.6133,-1.4664,0.0000,0.0000,0.49875153,-0.1175
[DATA]51,0,513.6313,473.5651,-4.5030,-0.5205,-0.3474,0.49872659,-0.8281
[DATA]52,0,513.4621,472.5072,-1.5475,0.0000,0.0000,0.49870166,-1.6057
[DATA]53,0,512.9224,471.4516,-1.5734,0.0000,0.0000,0.49867672,-0.1175
[DATA]54,0,512.2930,469.3645,-1.6463,0.0000,0.0000,0.49865179,-1.9760
[DATA]55,0,512.2033,468.3419,-1.6930,0.0000,0.0000,0.49862685,-0.1175
[DATA]56,0,512.2636,467.3509,-1.7456,0.0000,0.0000,0.49860192,-1.3020
[DATA]57,0,512.4739,466.3655,-1.8054,0.0000,0.0000,0.49857699,-0.1175
[DATA]58,0,512.8341,465.3973,-1.8718,0.0000,0.0000,0.49855206,-0.1175
[DATA]59,0,513.3444,464.4410,-1.9452,0.0000,0.0000,0.49852714,-0.0176
[DATA]60,0,514.0047,463.4922,-2.0256,0.0000,0.0000,0.49850221,-0.8281
[DATA]61,0,514.0047,463.4922,-5.0256,-0.6041,-0.4360,0.49847729,-1.7086
[DATA]62,0,515.7753,461.6666,-2.2054,0.0000,0.0000,0.49845236,-0.1175
[DATA]63,0,516.2815,460.7593,-2.2761,0.0000,0.0000,0.49842744,-0.1175
[DATA]64,0,516.9377,459.8429,-2.3547,0.0000,0.0000,0.49840252,-0.1175
[DATA]65,0,517.7438,458.9261,-2.4409,0.0000,0.0000,0.49837760,-0.1453
[DATA]66,0,518.7000,458.0389,-2.5331,0.0000,0.0000,0.49835268,-0.2431
[DATA]67,0,519.8062,457.1772,-2.6314,0.0000,0.0000,0.49832776,-2.0119
[DATA]68,0,520.0000,456.3062,-2.6847,0.0000,0.0000,0.49830284,-1.2374
[DATA]69,0,519.3126,455.4479,-2.6932,0.0000,0.0000,0.49827793,-2.0843
[DATA]70,0,518.7751,454.6049,-2.7085,0.0000,0.0000,0.49825302,-0.1175
[DATA]71,0,518.3877,453.7857,-2.7301,0.0000,0.0000,0.49822810,-1.6057
[DATA]72,0,518.1502,452.9690,-2.7591,0.0000,0.0000,0.49820319,-1.8187
[DATA]73,0,518.0627,452.1665,-2.7948,0.0000,0.0000,0.49817828,0.0735
[DATA]74,0,518.2253,451.3650,-2.8430,0.0000,0.0000,0.49815337,-2.0843
[DATA]75,0,519.3003,449.7905,-5.9755,-0.7561,-0.6024,0.49812846,-0.1175
[DATA]76,0,520.0000,449.2817,-3.0359,0.0000,0.0000,0.49810356,-1.2064
[DATA]77,0,518.8856,448.9943,-5.9946,-0.7591,-0.6127,0.49807865,-0.1175
[DATA]78,0,518.0211,448.8761,-2.9573,0.0000,0.0000,0.49805375,-0.1175
[DATA]79,0,516.6476,448.9157,-2.8866,0.0000,0.0000,0.49802885,-1.9249
[DATA]80,0,515.5240,449.0694,-2.8227,0.0000,0.0000,0.49800394,-1.0822
[DATA]81,0,514.6504,449.3125,-2.7669,0.0000,0.0000,0.49797904,0.0735
[DATA]82,0,514.0269,449.6216,-2.7203,0.0000,0.0000,0.49795415,-1.3230
[DATA]83,0,513.6533,449.9758,-2.6839,0.0000,0.0000,0.49792925,-3.2494
[DATA]84,0,513.4297,450.3665,-2.6532,0.0000,0.0000,0.49790435,-2.4613
[DATA]85,0,513.3561,450.7867,-2.6285,0.0000,0.0000,0.49787946,-0.0411
[DATA]86,0,513.4326,451.2523,-5.6090,-0.6974,-0.5443,0.49785456,-3.3597
[DATA]87,0,513.6590,451.7352,-5.5962,-0.6954,-0.5417,0.49782967,-1.0822
[DATA]88,0,513.3380,452.2285,-2.5555,0.0000,0.0000,0.49780478,-1.9249
[DATA]89,0,512.4716,452.7430,-5.4864,-0.6778,-0.5258,0.49777989,-2.1511
[DATA]90,0,511.7552,452.7856,-2.4485,0.0000,0.0000,0.49775500,-0.1453
[DATA]91,0,510.5110,452.4388,-5.4036,-0.6646,-0.5096,0.49773011,-0.1175
[DATA]92,0,509.4167,451.7404,-2.3838,0.0000,0.0000,0.49770522,-1.4275
[DATA]93,0,507.8079,450.7814,-2.3513,0.0000,0.0000,0.49768034,-1.7086
[DATA]94,0,506.3491,449.6070,-2.3371,0.0000,0.0000,0.49765546,-1.7086
[DATA]95,0,505.0403,448.2628,-2.3389,0.0000,0.0000,0.49763057,-0.2431
[DATA]96,0,503.8815,446.7907,-5.3545,-0.6567,-0.4971,0.49760569,-0.1453
[DATA]97,0,502.0138,443.6163,-2.4199,0.0000,0.0000,0.49758081,-3.5247
[DATA]98,0,500.6483,441.9529,-2.4348,0.0000,0.0000,0.49755593,-2.9494
[DATA]99,0,499.4327,440.2115,-2.4611,0.0000,0.0000,0.49753105,-0.1175
[DATA]100,0,498.3672,438.4218,-5.4973,-0.6796,-0.5207,0.49750618,-0.1175
[DATA]101,0,497.4517,436.6474,-2.5402,0.0000,0.0000,0.49748130,-2.9782
[DATA]102,0,496.0066,434.8889,-2.5559,0.0000,0.0000,0.49745643,-1.8187
[DATA]103,0,494.7115,433.1604,-2.5776,0.0000,0.0000,0.49743156,-0.1175
[DATA]104,0,493.5663,431.3838,-5.6091,-0.6975,-0.5405,0.49740668,-2.4613
[DATA]105,0,492.5713,429.6164,-2.6477,0.0000,0.0000,0.49738181,0.0718
[DATA]106,0,491.1287,427.8817,-2.6623,0.0000,0.0000,0.49735694,-2.4520
[DATA]107,0,489.9361,426.1801,-2.6878,0.0000,0.0000,0.49733208,-3.2976
[DATA]108,0,488.9936,424.4985,-2.7248,0.0000,0.0000,0.49730721,-3.2114
[DATA]109,0,488.3010,422.8070,-2.7747,0.0000,0.0000,0.49728234,-2.0119
[DATA]110,0,487.8584,421.1116,-2.8373,0.0000,0.0000,0.49725748,-1.9760
[DATA]111,0,487.6659,419.4584,-2.9104,0.0000,0.0000,0.49723262,-0.1175
[DATA]112,0,487.7233,417.8362,-5.9944,-0.7591,-0.6047,0.49720776,-0.9413
[DATA]113,0,488.0307,416.1874,-6.0922,-0.7747,-0.6210,0.49718290,-2.5320
[DATA]114,0,487.8291,414.5560,-3.1637,0.0000,0.0000,0.49715804,-2.0843
[DATA]115,0,487.1027,412.9456,-3.2079,0.0000,0.0000,0.49713318,-2.1048
[DATA]116,0,486.3998,409.6932,-3.3353,0.0000,0.0000,0.49710832,-0.0411
[DATA]117,0,486.4234,408.0919,-3.4166,0.0000,0.0000,0.49708347,-1.9894
[DATA]118,0,486.6970,406.5406,-3.5078,0.0000,0.0000,0.49705861,0.0726
[DATA]119,0,487.2206,405.0324,-3.6094,0.0000,0.0000,0.49703376,-0.1175
[DATA]120,0,487.9942,403.5383,-3.7228,0.0000,0.0000,0.49700891,-3.2289
[DATA]121,0,489.0178,402.0490,-6.8484,-0.8958,-0.7515,0.49698406,-0.0411
[DATA]122,0,490.2914,400.5798,-3.9856,0.0000,0.0000,0.49695921,-0.1175
[DATA]123,0,490.9192,399.1520,-4.0884,0.0000,0.0000,0.49693436,-2.1883
[DATA]124,0,491.7971,397.7258,-7.2036,-0.9526,-0.8141,0.49690951,-3.1824
[DATA]125,0,492.9249,396.3357,-4.3295,0.0000,0.0000,0.49688467,-3.1359
[DATA]126,0,493.3502,394.9524,-4.4199,0.0000,0.0000,0.49685982,-2.2018
[DATA]127,0,494.0254,393.5865,-4.5219,0.0000,0.0000,0.49683498,-3.2144
[DATA]128,0,494.9507,392.2095,-7.6371,-1.0219,-0.8899,0.49681014,-3.0960
[DATA]129,0,496.1259,390.8599,-7.7633,-1.0421,-0.9113,0.49678530,-0.0411
[DATA]130,0,496.5293,389.5153,-7.8507,-1.0561,-0.9288,0.49676046,-3.2065
[DATA]131,0,496.1405,388.1717,-7.8984,-1.0638,-0.9395,0.49673562,-2.0843
[DATA]132,0,492.9370,385.5758,-7.8681,-1.0589,-0.9392,0.49671078,-3.2144
[DATA]133,0,490.1146,384.2909,-4.7912,0.0000,0.0000,0.49668595,-0.1175
[DATA]134,0,486.4833,383.0131,-4.6735,0.0000,0.0000,0.49666111,-0.1175
[DATA]135,0,483.1020,381.7322,-7.5685,-1.0110,-0.8910,0.49663628,-0.9413
[DATA]136,0,479.9707,380.4608,-7.4755,-0.9961,-0.8740,0.49661145,-0.1175
[DATA]137,0,476.0785,379.2230,-4.3428,0.0000,0.0000,0.49658662,-2.3131
[DATA]138,0,471.4402,377.9999,-4.1720,0.0000,0.0000,0.49656179,-3.7255
[DATA]139,0,467.0518,376.8037,-4.0124,0.0000,0.0000,0.49653696,-3.5247
[DATA]140,0,462.9135,375.6194,-6.8647,-0.8984,-0.7706,0.49651213,-0.1175
[DATA]141,0,459.0251,374.4422,-3.7291,0.0000,0.0000,0.49648731,-0.0176
[DATA]142,0,454.4885,373.2534,-3.5618,0.0000,0.0000,0.49646248,-3.1996
[DATA]143,0,450.2018,372.0854,-6.4058,-0.8249,-0.6910,0.49643766,-2.5433
[DATA]144,0,446.1651,370.9099,-3.2628,0.0000,0.0000,0.49641284,-3.2421
[DATA]145,0,441.5535,369.7579,-3.0898,0.0000,0.0000,0.49638802,-3.6393
[DATA]146,0,437.1919,368.6381,-5.9277,-0.7484,-0.6079,0.49636320,-2.4520
[DATA]147,0,433.0803,367.5505,-2.7765,0.0000,0.0000,0.49633838,-3.3711
[DATA]148,0,428.4703,366.4889,-2.5991,0.0000,0.0000,0.49631356,-2.5433
[DATA]149,0,424.0102,365.4284,-2.4291,0.0000,0.0000,0.49628875,-3.2289
[DATA]150,0,419.7002,364.3890,-2.2656,0.0000,0.0000,0.49626393,-0.2431
[DATA]151,0,415.5402,363.3686,-2.1086,0.0000,0.0000,0.49623912,-0.1175
[DATA]152,0,407.6701,361.3102,-1.8180,0.0000,0.0000,0.49621431,-2.3751
[DATA]153,0,403.9601,360.3091,-1.6825,0.0000,0.0000,0.49618950,-3.2421
[DATA]154,0,400.4000,359.3137,-4.5541,-0.5287,-0.3660,0.49616469,-2.0843
[DATA]155,0,396.9900,358.3373,-4.4321,-0.5092,-0.3444,0.49613988,-1.5287
[DATA]156,0,393.2013,357.3705,-4.2899,-0.4866,-0.3209,0.49611507,-2.9533
[DATA]157,0,389.0533,356.4091,-1.1274,0.0000,0.0000,0.49609027,-3.1824
[DATA]158,0,384.5687,355.4522,-0.9414,0.0000,0.0000,0.49606546,-0.1175
[DATA]159,0,380.2341,354.5220,-3.7489,-0.4057,-0.2343,0.49604066,-0.9413
[DATA]160,0,376.0495,353.6046,-3.5417,-0.3796,-0.2054,0.49601586,-1.2818
[DATA]161,0,371.6092,352.7967,-0.2702,0.0000,0.0000,0.49599106,-2.3825
[DATA]162,0,366.9394,352.0922,-0.4102,0.0000,0.0000,0.49596626,0.0083
[DATA]163,0,362.4196,351.4611,0.0006,0.0000,0.0000,0.49594146,-0.1175
[DATA]164,0,358.0497,350.9007,0.4170,0.0000,0.0000,0.49591666,-1.2374
[DATA]165,0,353.8299,350.3852,0.7702,0.0000,0.0000,0.49589187,0.0718
[DATA]166,0,349.7600,349.9107,0.9923,-0.2024,0.0012,0.49586707,0.0726
[DATA]167,0,345.8401,349.4778,0.7541,0.0000,0.0000,0.49584228,-2.2539
[DATA]168,0,341.8679,349.0761,0.4108,-0.3800,0.0949,0.49581749,-3.3129
[DATA]169,0,338.1456,348.6945,0.0458,-0.4836,0.1401,0.49579270,-1.6540
[DATA]170,0,334.2933,348.3317,-0.3286,-0.6000,0.1842,0.49576791,-2.0119
[DATA]171,0,330.2075,347.9869,-0.6831,0.0000,0.0000,0.49574312,0.0735
[DATA]172,0,325.7717,347.6617,-1.0034,-0.9078,0.2840,0.49571833,-4.9417
[DATA]173,0,321.5859,347.3477,-1.2519,0.0000,0.0000,0.49569354,-3.3129
[DATA]174,0,312.1488,346.7599,-1.7280,-1.5365,0.4444,0.49566876,-3.6460
[DATA]175,0,307.8052,346.4779,-1.9331,0.0000,0.0000,0.49564398,0.0735
[DATA]176,0,302.1752,346.1989,-2.2011,-2.1112,0.5647,0.49561919,-2.1150
[DATA]177,0,296.7952,345.9285,-2.4567,0.0000,0.0000,0.49559441,-0.6472
[DATA]178,0,289.5539,345.6581,-2.8052,-2.9831,0.7195,0.49556963,-0.0304
[DATA]179,0,282.5627,345.3952,-3.1416,-3.5267,0.8038,0.49554486,-1.6057
[DATA]180,0,272.8384,345.1315,-3.6147,0.0000,0.0000,0.49552008,-3.2065
[DATA]181,0,259.8375,344.8756,-4.2519,-5.2818,1.0937,0.49549530,-4.7204
[DATA]182,0,247.0865,344.6207,-4.8767,-5.8816,1.2506,0.49547053,-3.3519
[DATA]183,0,229.3037,344.3699,-5.7533,0.0000,0.0000,0.49544575,-3.0172
[DATA]184,0,205.8893,344.1251,-6.9118,0.0000,0.0000,0.49542098,-1.2818
[DATA]185,0,182.7249,343.8882,-8.0582,-8.9358,2.0697,0.49539621,0.0735
[DATA]186,0,159.8104,343.6569,-9.1923,-10.0246,2.3549,0.49537144,-3.2779
[DATA]187,0,128.2101,343.4262,-10.7608,-11.5304,2.7648,0.49534667,-2.1048
[DATA]188,0,86.8352,343.1948,-12.8180,-13.5053,3.2996,0.49532190,-0.1175
[DATA]189,0,48.0000,342.9672,-14.7484,-15.3584,3.6550,0.49529714,-1.4638
[DATA]190,0,69.8483,342.7468,-13.6449,-14.2991,3.3997,0.49527237,-0.1175
[DATA]191,0,69.2788,342.3102,-13.6516,-14.3055,3.4512,0.49524761,-1.2072
[DATA]192,0,48.0000,342.0996,-14.7050,-15.3168,3.6797,0.49522285,-2.2539
[DATA]193,0,48.1834,341.8946,-14.6856,0.0000,0.0000,0.49519809,-2.3791
[DATA]194,0,48.0000,341.6895,-14.6845,-15.2971,3.6819,0.49517333,-3.2065
[DATA]195,0,58.1722,341.4874,-14.1658,0.0000,0.0000,0.49514857,-3.3597
[DATA]196,0,53.2974,341.2874,-14.3995,-15.0235,3.6354,0.49512381,-3.2065
[DATA]197,0,48.6725,341.0853,-14.6206,-15.2358,3.6907,0.49509905,-3.0960
[DATA]198,0,48.0000,340.8848,-14.6442,-15.2585,3.6666,0.49507430,-3.2497
[DATA]199,0,48.0000,340.6865,-14.6343,-15.2490,3.6839,0.49504955,-0.9413
[DATA]200,0,48.0000,340.4928,-14.6246,0.0000,0.0000,0.49502479,-1.9894
[DATA]201,0,48.0000,340.2996,-14.6150,-15.2304,3.6746,0.49500004,-4.0230
[DATA]202,0,52.1873,340.1088,-14.3961,-15.0202,3.6190,0.49497529,-2.1511
[DATA]203,0,48.0000,339.9188,-14.5959,-15.2121,3.6642,0.49495054,-0.1175
[DATA]204,0,48.0000,339.7336,-14.5867,-15.2032,3.6655,0.49492580,-3.1824
[DATA]205,0,48.0000,339.5514,-14.5776,-15.1945,3.6606,0.49490105,-1.2202
[DATA]206,0,48.0000,339.3682,-14.5684,-15.1857,3.6601,0.49487630,-3.2065
[DATA]207,0,48.0000,339.1875,-14.5594,0.0000,0.0000,0.49485156,-3.2906
[DATA]208,0,48.0000,339.0120,-14.5506,-15.1686,3.6552,0.49482682,0.0726
[DATA]209,0,60.3255,338.6623,-13.9168,0.0000,0.0000,0.49480208,-0.0701
[DATA]210,0,51.6947,338.4919,-14.3399,-14.9663,3.6267,0.49477734,-2.1511
[DATA]211,0,48.0000,338.3252,-14.5163,0.0000,0.0000,0.49475260,-3.2497
[DATA]212,0,48.0000,338.1573,-14.5079,-15.1276,3.6439,0.49472786,-2.8725
[DATA]213,0,54.3360,337.9936,-14.1829,-14.8156,3.5616,0.49470312,-0.0304
[DATA]214,0,48.0000,337.8308,-14.4915,-15.1119,3.6404,0.49467839,-0.8281
[DATA]215,0,48.0000,337.6703,-14.4835,-15.1042,3.6380,0.49465365,-3.2144
[DATA]216,0,48.0000,337.5094,-14.4755,-15.0965,3.6359,0.49462892,-0.1175
[DATA]217,0,48.0000,337.3507,-14.4675,-15.0888,3.6340,0.49460419,-1.4638
[DATA]218,0,48.0000,337.1954,-14.4598,-15.0814,3.6320,0.49457946,-3.9551
[DATA]219,0,48.0000,337.0394,-14.4520,-15.0739,3.6300,0.49455473,-0.4401
[DATA]220,0,48.0000,336.8854,-14.4443,0.0000,0.0000,0.49453000,-0.1175
[DATA]221,0,48.0000,336.7300,-14.4365,-15.0590,3.6261,0.49450528,-11.5427
[DATA]222,0,54.1755,336.5798,-14.1202,-14.7554,3.5460,0.49448055,-3.2065
[DATA]223,0,48.0000,336.4300,-14.4215,0.0000,0.0000,0.49445583,-3.0172
[DATA]224,0,48.0000,336.0223,-14.4011,0.0000,0.0000,0.49443110,-0.5800
[DATA]225,0,54.0831,335.4255,-14.0671,-14.7044,3.5339,0.49440638,-2.9735
[DATA]226,0,52.2950,333.8601,-14.0783,-14.7151,3.5616,0.49438166,-1.9470
[DATA]227,0,48.0000,332.9103,-14.2455,0.0000,0.0000,0.49435694,-3.4745
[DATA]228,0,48.5854,331.8871,-14.1651,-14.7985,3.5689,0.49433223,-5.2264
[DATA]229,0,49.4207,330.7847,-14.0682,-14.7055,3.5443,0.49430751,-3.1996
[DATA]230,0,48.0000,329.6756,-14.0838,-14.7204,3.5340,0.49428279,-14.5757
[DATA]231,0,48.0000,328.5353,-14.0268,-14.6657,3.5293,0.49425808,-1.9760
[DATA]232,0,48.0000,327.3510,-13.9675,0.0000,0.0000,0.49423337,-3.7493
[DATA]233,0,48.0000,326.1311,-13.9066,-14.5503,3.4972,0.49420866,-4.1239
[DATA]234,0,53.0035,324.9182,-13.5957,-14.2519,3.4184,0.49418394,-4.7289
[DATA]235,0,48.0000,323.7163,-13.7858,-14.4344,3.4642,0.49415924,-2.2168
[DATA]236,0,48.0000,322.5282,-13.7264,0.0000,0.0000,0.49413453,-3.7123
[DATA]237,0,48.0000,321.3606,-13.6680,-14.3213,3.4348,0.49410982,-3.2494
[DATA]238,0,54.2378,320.1898,-13.2976,-13.9657,3.3411,0.49408512,-3.1336
[DATA]239,0,48.0000,319.0077,-13.5504,-14.2084,3.4066,0.49406041,-11.2657
[DATA]240,0,48.0000,317.8104,-13.4905,-14.1509,3.3908,0.49403571,-14.6594
[DATA]241,0,48.0000,316.6186,-13.4309,-14.0937,3.3760,0.49401101,-2.9735
[DATA]242,0,48.0000,315.4515,-13.3726,-14.0377,3.3611,0.49398631,-5.1569
[DATA]243,0,48.0000,314.3196,-13.3160,-13.9833,3.3469,0.49396161,-3.3519
[DATA]244,0,48.0000,312.0744,-13.2037,0.0000,0.0000,0.49393691,-1.2818
[DATA]245,0,48.0000,310.9840,-13.1492,-13.8232,3.3049,0.49391221,-3.2421
[DATA]246,0,53.7306,309.8911,-12.8080,-13.4957,3.2185,0.49388752,-4.5665
[DATA]247,0,48.0000,308.8110,-13.0405,-13.7189,3.2779,0.49386282,-3.7123
[DATA]248,0,48.0000,307.7585,-12.9879,-13.6684,3.2644,0.49383813,-11.5152
[DATA]249,0,48.0000,306.7340,-12.9367,-13.6192,3.2513,0.49381344,-0.1175
[DATA]250,0,48.0000,305.7040,-12.8852,-13.5698,3.2385,0.49378875,-2.5089
[DATA]251,0,48.0000,304.6880,-12.8344,-13.5210,3.2256,0.49376406,-14.7457
[DATA]252,0,48.0000,303.6790,-12.7840,-13.4726,3.2130,0.49373937,0.4859
[DATA]253,0,48.0000,302.6922,-12.7346,-13.4252,3.2005,0.49371468,-0.6472
[DATA]254,0,48.0000,301.7232,-12.6862,-13.3787,3.1883,0.49369000,-2.9308
[DATA]255,0,48.0000,300.7396,-12.6370,0.0000,0.0000,0.49366531,-1.2202
[DATA]256,0,48.0000,299.7518,-12.5876,-13.2841,3.1636,0.49364063,-12.8578
[DATA]257,0,53.4919,298.7846,-12.2646,-12.9741,3.0818,0.49361595,0.9747
[DATA]258,0,48.0000,297.8280,-12.4914,0.0000,0.0000,0.49359126,-2.6489
[DATA]259,0,48.0000,295.9810,-12.3990,-13.1031,3.1163,0.49356659,-3.3228
[DATA]260,0,53.3123,295.0734,-12.0881,0.0000,0.0000,0.49354191,-3.4173
[DATA]261,0,48.0000,294.1841,-12.3092,-13.0168,3.0936,0.49351723,-2.1511
[DATA]262,0,53.2772,293.3095,-12.0016,-12.7216,3.0157,0.49349255,-3.2421
[DATA]263,0,48.0000,292.4452,-12.2223,0.0000,0.0000,0.49346788,-1.9249
[DATA]264,0,48.0000,291.5813,-12.1791,-12.8919,3.0609,0.49344321,-3.1359
[DATA]265,0,53.2356,290.7311,-11.8748,-12.5998,2.9838,0.49341853,-1.5000
[DATA]266,0,48.0000,289.8699,-12.0935,-12.8098,3.0394,0.49339386,-13.0599
[DATA]267,0,48.0000,289.0044,-12.0502,-12.7682,3.0285,0.49336919,-2.5320
[DATA]268,0,48.0000,288.1617,-12.0081,-12.7278,3.0176,0.49334452,-3.9551
[DATA]269,0,48.0000,287.3435,-11.9672,0.0000,0.0000,0.49331986,-1.8187
[DATA]270,0,48.0000,286.5187,-11.9259,-12.6489,2.9970,0.49329519,-14.6785
[DATA]271,0,53.2621,285.7021,-11.6220,-12.3571,2.9200,0.49327053,-2.8945
[DATA]272,0,48.0000,284.8804,-11.8440,0.0000,0.0000,0.49324586,-13.6759
[DATA]273,0,48.0000,284.0830,-11.8042,-12.5320,2.9664,0.49322120,-3.3519
[DATA]274,0,48.0000,284.0830,-11.8042,0.0000,0.0000,0.49319654,-5.1569
[DATA]275,0,48.0000,284.0830,-11.8042,0.0000,0.0000,0.49317188,-9.4401
[DATA]276,0,48.0000,284.0830,-11.8042,-12.5320,2.9879,0.49314722,-3.0132
[DATA]277,0,48.0000,284.0830,-11.8042,-12.5320,2.9879,0.49312256,-1.6057
[DATA]278,0,48.0000,284.0830,-11.8042,0.0000,0.0000,0.49309791,-0.1175
[DATA]279,0,48.0000,284.0830,-11.8042,-12.5320,3.0307,0.49307325,-3.9326
[DATA]280,0,48.0000,284.0830,-11.8042,-12.5320,3.0521,0.49304860,-3.3228
[DATA]281,0,48.0000,284.0830,-11.8042,-12.5320,3.0736,0.49302395,-1.9894
[DATA]282,0,48.0000,284.0830,-11.8042,-12.5320,3.0950,0.49299930,-11.9535
[DATA]283,0,48.0000,284.0830,-11.8042,0.0000,0.0000,0.49297465,-10.0658
[DATA]284,0,48.0000,284.0830,-11.8042,-12.5320,3.1379,0.49295000,-0.1175
[DATA]285,0,48.0000,284.0830,-11.8042,-12.5320,3.1379,0.49292535,-0.9413
[DATA]286,0,48.0000,284.0830,-11.8042,-12.5320,3.1244,0.49290070,-3.6460
[DATA]287,0,48.0000,284.0830,-11.8042,0.0000,0.0000,0.49287606,-12.9572
[DATA]288,0,48.0000,284.0830,-11.8042,0.0000,0.0000,0.49285141,-10.0365
[DATA]289,0,48.0000,284.0830,-11.8042,-12.5320,3.0029,0.49282677,-0.0304
[DATA]290,0,48.0000,284.0830,-11.8042,-12.5320,3.0029,0.49280213,-1.9760
[DATA]291,0,48.0000,284.0830,-11.8042,-12.5320,2.9507,0.49277749,-0.4401
[DATA]292,0,48.0000,284.0830,-11.8042,-12.5320,2.9039,0.49275285,-2.5320
